"hotel_id","partition","n_clusters","log_model_evidence","log_bayes_factor_vs_homogeneity","posterior_probability","scaled_integration_error","integration_mode_lambda","alpha","beta","model_prior","score_transform","score_mode","model"
"HVEGAS001","agoda | booking_via_agoda+priceline | tripcom",3,-1725.5974553077,39.0316194059224,0.489710417211603,9.71990516757049e-12,1.76075681283313,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+tripcom | booking_via_agoda+priceline",2,-1726.11971847403,38.5093562395964,0.29048474581083,1.61647531645806e-11,1.90480174467929,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+priceline | booking_via_agoda | tripcom",3,-1727.23498776238,37.3940869512448,0.0952287389953658,9.96621165159737e-12,1.77598817536294,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda | booking_via_agoda | priceline | tripcom",4,-1727.5403307498,37.0887439638268,0.0701712574409548,4.63770565764973e-11,1.79903239114203,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+tripcom | booking_via_agoda | priceline",3,-1728.10716346037,36.5219112532523,0.0398095199515916,1.15786309658432e-11,1.91300771160064,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+priceline+tripcom | booking_via_agoda",2,-1729.38538799377,35.2436867198553,0.0110882007235232,1.58240691099756e-11,1.92367601928031,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda | booking_via_agoda | priceline+tripcom",3,-1730.53750993778,34.0915647758475,0.00350348995274108,1.01335083292415e-11,1.78802708593085,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+booking_via_agoda+priceline | tripcom",2,-1737.53204332303,27.0970313905975,3.21228170055855e-06,1.73492078924647e-11,1.80541847985155,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+booking_via_agoda | priceline | tripcom",3,-1739.62356393209,25.0055107815385,3.96714216864748e-07,1.00633339454917e-11,1.84214435696635,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+booking_via_agoda | priceline+tripcom",2,-1742.56619387069,22.0628808429385,2.09175020272072e-08,1.70279093164668e-11,1.84515970441682,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda | booking_via_agoda+priceline+tripcom",2,-1760.60447297716,4.02460173646978,3.06608888506371e-16,1.61509725306296e-11,1.90780110924402,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+priceline | booking_via_agoda+tripcom",2,-1762.2777831936,2.35129152002287,5.75274796231993e-17,1.57376694277363e-11,1.93023668607194,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda | booking_via_agoda+tripcom | priceline",3,-1762.63174634121,1.9973283724164,4.03785859026905e-17,1.15773987605257e-11,1.91358751792874,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+booking_via_agoda+priceline+tripcom",1,-1764.62907471363,0,5.47926638205178e-18,0,NA,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HVEGAS001","agoda+booking_via_agoda+tripcom | priceline",2,-1766.7807821033,-2.15170738967186,6.3715892192222e-19,1.35331230428304e-11,2.05902924699925,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
