"hotel_id","partition","n_clusters","log_model_evidence","log_bayes_factor_vs_homogeneity","posterior_probability","scaled_integration_error","integration_mode_lambda","alpha","beta","model_prior","score_transform","score_mode","model"
"HWYNN001","agoda+tripcom | booking_via_agoda+priceline",2,-888.107342943072,46.7287691067964,0.493206647570536,1.62562896578524e-11,1.6530849507245,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda+tripcom | booking_via_agoda | priceline",3,-889.273490209919,45.5626218399492,0.153665933443542,6.37813782151932e-12,1.64974971725009,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda | booking_via_agoda+priceline | tripcom",3,-889.396054896981,45.4400571528874,0.135940364838957,9.26452704530761e-11,1.5161761636924,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda+priceline | booking_via_agoda | tripcom",3,-889.916851446204,44.9192606036646,0.080754989245454,4.85513463751525e-12,1.54354180135257,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda+priceline+tripcom | booking_via_agoda",2,-889.948891241019,44.8872208088499,0.0782086262602357,1.66730579306268e-11,1.67550618490314,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda | booking_via_agoda | priceline | tripcom",4,-890.517589151599,44.3185228982692,0.0442865952567357,4.06796868410907e-11,1.54397365581039,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda | booking_via_agoda | priceline+tripcom",3,-891.675686943343,43.1604251065258,0.0139096695501946,9.92129239785926e-11,1.53489784362528,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda+booking_via_agoda+priceline | tripcom",2,-898.173996406924,36.6621156429447,2.09477253391765e-05,1.4747641783505e-11,1.59361919583512,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda+booking_via_agoda | priceline | tripcom",3,-899.672937425927,35.1631746239418,4.67902168202502e-06,5.51604846892737e-12,1.60676148419898,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda+booking_via_agoda | priceline+tripcom",2,-900.77965246947,34.0564595803982,1.54708730066363e-06,1.54959467167318e-11,1.62082333014388,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda | booking_via_agoda+priceline+tripcom",2,-933.613072226274,1.22303982359483,8.51415983424812e-21,1.49099188000047e-11,1.62032337854102,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda+priceline | booking_via_agoda+tripcom",2,-934.715655538199,0.120456511669886,2.82680564958881e-21,1.60098635225072e-11,1.659120649336,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda+booking_via_agoda+priceline+tripcom",1,-934.836112049868,0,2.50600741844714e-21,0,NA,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda | booking_via_agoda+tripcom | priceline",3,-935.369536752835,-0.533424702966386,1.47000545810053e-21,5.67048389626735e-12,1.62365042961877,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
"HWYNN001","agoda+booking_via_agoda+tripcom | priceline",2,-936.841083542451,-2.00497149258297,3.37469320224746e-22,1.64643130911915e-11,1.78775884963354,0.5,0,"uniform","10-rating_scaled_0_10","continuous","Martel-Escobar et al. (2023), equations 13-15"
