"hotel_id","platform","month","n_reviews","mean_score","sd_score","median_score","min_score","max_score","year","month_number","has_reviews"
"HVEGAS001","agoda",2024-01-01,9,6.84444444444444,2.4285340800116,6.4,2,10,2024,1,TRUE
"HVEGAS001","agoda",2024-02-01,3,9.6,0.69282032302755,10,8.8,10,2024,2,TRUE
"HVEGAS001","agoda",2024-03-01,5,8.32,2.77704879323357,10,3.6,10,2024,3,TRUE
"HVEGAS001","agoda",2024-04-01,8,9.5,0.595219047314276,9.6,8.4,10,2024,4,TRUE
"HVEGAS001","agoda",2024-05-01,3,7.46666666666667,3.71662929727103,9.2,3.2,10,2024,5,TRUE
"HVEGAS001","agoda",2024-06-01,15,8.98666666666667,1.57746028551623,9.6,5.6,10,2024,6,TRUE
"HVEGAS001","agoda",2024-07-01,31,9.01935483870968,1.54863797250761,9.6,4.4,10,2024,7,TRUE
"HVEGAS001","agoda",2024-08-01,24,8.88333333333333,1.51504531907154,9.2,3.6,10,2024,8,TRUE
"HVEGAS001","agoda",2024-09-01,25,9.136,1.57767761810411,10,4,10,2024,9,TRUE
"HVEGAS001","agoda",2024-10-01,21,8.97142857142857,1.6950347657623,9.6,3.2,10,2024,10,TRUE
"HVEGAS001","agoda",2024-11-01,13,8.8,1.67332005306815,9.6,4.8,10,2024,11,TRUE
"HVEGAS001","agoda",2024-12-01,26,8.30769230769231,2.22942559004297,9.2,2.4,10,2024,12,TRUE
"HVEGAS001","agoda",2025-01-01,18,8.68888888888889,1.66234734421253,9.4,4.8,10,2025,1,TRUE
"HVEGAS001","agoda",2025-02-01,21,8.8952380952381,1.11645698102354,9.2,6.4,10,2025,2,TRUE
"HVEGAS001","agoda",2025-03-01,5,8.56,2.79427987145168,10,3.6,10,2025,3,TRUE
"HVEGAS001","agoda",2025-04-01,9,9.37777777777778,1.09747184221029,10,6.8,10,2025,4,TRUE
"HVEGAS001","agoda",2025-05-01,14,8.97142857142857,1.26212797804622,9.4,5.2,10,2025,5,TRUE
"HVEGAS001","agoda",2025-06-01,12,8.73333333333333,2.00242277496461,9.6,3.6,10,2025,6,TRUE
"HVEGAS001","agoda",2025-07-01,13,9.50769230769231,0.850942162607168,10,7.2,10,2025,7,TRUE
"HVEGAS001","agoda",2025-08-01,22,8.94545454545455,1.48411502337164,10,6,10,2025,8,TRUE
"HVEGAS001","agoda",2025-09-01,3,7.73333333333333,2.05264057577875,7.2,6,10,2025,9,TRUE
"HVEGAS001","agoda",2025-10-01,9,9.82222222222222,0.290593262902712,10,9.2,10,2025,10,TRUE
"HVEGAS001","agoda",2025-11-01,5,8.8,1.46969384566991,8.8,6.4,10,2025,11,TRUE
"HVEGAS001","agoda",2025-12-01,9,9.11111111111111,0.819213715162967,9.2,8,10,2025,12,TRUE
