"hotel_id","partition","n_clusters","log_model_evidence","log_bayes_factor_partition_vs_homogeneity","posterior_probability","scaled_integration_error","integration_mode_lambda","alpha","beta","model_prior","period_scenario","source_scenario","excluded_platform","score_mode","n_platforms","n_reviews_scenario"
"HVEGAS001","agoda+booking_via_agoda | priceline+tripcom",2,-886.3930255255,33.6582044294024,0.42653299259988,1.72572750386518e-11,1.74333802854882,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
"HVEGAS001","agoda+booking_via_agoda+priceline | tripcom",2,-886.866629805278,33.1846001496245,0.265624973731471,1.72097373734274e-11,1.73699630220488,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
"HVEGAS001","agoda+booking_via_agoda | priceline | tripcom",3,-887.341055231558,32.7101747233449,0.165283141859607,5.03239403098487e-12,1.65392446135156,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
"HVEGAS001","agoda | booking_via_agoda | priceline+tripcom",3,-888.492414156925,31.558815797978,0.05226364939338,1.01785505495399e-11,1.80485660297341,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
"HVEGAS001","agoda+priceline | booking_via_agoda | tripcom",3,-888.798790891093,31.2524390638101,0.0384717557418787,1.00863776178124e-11,1.79721533931047,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
"HVEGAS001","agoda | booking_via_agoda+priceline | tripcom",3,-889.02161857179,31.0296113831123,0.0307871278068203,1.01167381974128e-11,1.7998955061368,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
"HVEGAS001","agoda | booking_via_agoda | priceline | tripcom",4,-889.402463229779,30.6487667251238,0.0210363525780429,9.89178397493074e-11,1.72149600484117,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
"HVEGAS001","agoda+priceline+tripcom | booking_via_agoda",2,-905.039072655151,15.0121572997521,3.40468746692782e-09,1.49789101515293e-11,1.96838196370071,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
"HVEGAS001","agoda+tripcom | booking_via_agoda+priceline",2,-905.699037569759,14.3521923851434,1.75977900226072e-09,1.50044773203484e-11,1.96697560828996,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
"HVEGAS001","agoda+tripcom | booking_via_agoda | priceline",3,-906.146931078237,13.9042988766653,1.12445078550511e-09,6.84864265954785e-12,1.80762317925594,0.5,0,"uniform","2024","all_sources",NA,"ceiling",4,983
