"hotel_id","platform","month","n_reviews","mean_score","sd_score","median_score","min_score","max_score","year","month_number","has_reviews"
"HWYNN001","agoda",2024-01-01,7,8.74285714285714,2.49189161271589,10,3.2,10,2024,1,TRUE
"HWYNN001","agoda",2024-02-01,6,8.53333333333333,1.42361043360417,8.8,6,10,2024,2,TRUE
"HWYNN001","agoda",2024-03-01,7,9.71428571428571,0.755928946018454,10,8,10,2024,3,TRUE
"HWYNN001","agoda",2024-04-01,17,9.71764705882353,0.561510567707375,10,8,10,2024,4,TRUE
"HWYNN001","agoda",2024-05-01,9,9.37777777777778,0.69602043392737,9.6,8.4,10,2024,5,TRUE
"HWYNN001","agoda",2024-06-01,5,9.76,0.219089023002067,9.6,9.6,10,2024,6,TRUE
"HWYNN001","agoda",2024-07-01,4,9.7,0.382970843102536,9.8,9.2,10,2024,7,TRUE
"HWYNN001","agoda",2024-08-01,2,8.2,1.41421356237309,8.2,7.2,9.2,2024,8,TRUE
"HWYNN001","agoda",2024-09-01,5,8.4,2.51396101799531,9.2,4,10,2024,9,TRUE
"HWYNN001","agoda",2024-10-01,2,8.2,1.41421356237309,8.2,7.2,9.2,2024,10,TRUE
"HWYNN001","agoda",2024-11-01,2,9,1.4142135623731,9,8,10,2024,11,TRUE
"HWYNN001","agoda",2024-12-01,4,8.8,1.17756811551038,8.8,7.6,10,2024,12,TRUE
"HWYNN001","agoda",2025-01-01,1,9.2,NA,9.2,9.2,9.2,2025,1,TRUE
"HWYNN001","agoda",2025-02-01,3,9.6,0.69282032302755,10,8.8,10,2025,2,TRUE
"HWYNN001","agoda",2025-03-01,2,8.8,1.69705627484771,8.8,7.6,10,2025,3,TRUE
"HWYNN001","agoda",2025-04-01,0,NA,NA,NA,NA,NA,2025,4,FALSE
"HWYNN001","agoda",2025-05-01,3,9.73333333333333,0.230940107675851,9.6,9.6,10,2025,5,TRUE
"HWYNN001","agoda",2025-06-01,1,2,NA,2,2,2,2025,6,TRUE
"HWYNN001","agoda",2025-07-01,4,9.8,0.4,10,9.2,10,2025,7,TRUE
"HWYNN001","agoda",2025-08-01,4,9,2,10,6,10,2025,8,TRUE
"HWYNN001","agoda",2025-09-01,3,10,0,10,10,10,2025,9,TRUE
"HWYNN001","agoda",2025-10-01,1,8.8,NA,8.8,8.8,8.8,2025,10,TRUE
"HWYNN001","agoda",2025-11-01,2,6.8,3.39411254969543,6.8,4.4,9.2,2025,11,TRUE
"HWYNN001","agoda",2025-12-01,2,9.4,0.848528137423857,9.4,8.8,10,2025,12,TRUE
"HWYNN001","booking_via_agoda",2024-01-01,28,7.96428571428571,2.89932486211612,9,1,10,2024,1,TRUE
"HWYNN001","booking_via_agoda",2024-02-01,14,7.92857142857143,2.70225790815714,9,1,10,2024,2,TRUE
"HWYNN001","booking_via_agoda",2024-03-01,17,8.47058823529412,2.71840134681267,9,1,10,2024,3,TRUE
"HWYNN001","booking_via_agoda",2024-04-01,25,8.08,2.78268455512538,9,1,10,2024,4,TRUE
"HWYNN001","booking_via_agoda",2024-05-01,16,8.5,2.58198889747161,10,1,10,2024,5,TRUE
"HWYNN001","booking_via_agoda",2024-06-01,12,8.58333333333333,2.15146180044822,9.5,3,10,2024,6,TRUE
"HWYNN001","booking_via_agoda",2024-07-01,29,9.13793103448276,1.82686573771728,10,1,10,2024,7,TRUE
"HWYNN001","booking_via_agoda",2024-08-01,47,8.5531914893617,2.48306009171273,10,1,10,2024,8,TRUE
"HWYNN001","booking_via_agoda",2024-09-01,22,8.77272727272727,2.30799476317426,10,1,10,2024,9,TRUE
"HWYNN001","booking_via_agoda",2024-10-01,28,8.60714285714286,2.55805605756613,10,1,10,2024,10,TRUE
"HWYNN001","booking_via_agoda",2024-11-01,6,9,1.54919333848297,9.5,6,10,2024,11,TRUE
"HWYNN001","booking_via_agoda",2024-12-01,24,8.25,2.23120166492525,9,2,10,2024,12,TRUE
"HWYNN001","booking_via_agoda",2025-01-01,17,8.58823529411765,2.45099019605882,9,1,10,2025,1,TRUE
"HWYNN001","booking_via_agoda",2025-02-01,8,8,3.02371578407382,9,1,10,2025,2,TRUE
"HWYNN001","booking_via_agoda",2025-03-01,16,8.1875,2.71339271024303,9,1,10,2025,3,TRUE
"HWYNN001","booking_via_agoda",2025-04-01,17,7.88235294117647,2.61921631745968,9,3,10,2025,4,TRUE
"HWYNN001","booking_via_agoda",2025-05-01,22,9.04545454545454,1.04550159879055,9,6,10,2025,5,TRUE
"HWYNN001","booking_via_agoda",2025-06-01,25,8.4,2.10158670215308,9,3,10,2025,6,TRUE
"HWYNN001","booking_via_agoda",2025-07-01,21,9.09523809523809,1.99761762869579,10,1,10,2025,7,TRUE
"HWYNN001","booking_via_agoda",2025-08-01,40,8.825,2.40605539506109,10,1,10,2025,8,TRUE
"HWYNN001","booking_via_agoda",2025-09-01,19,9.10526315789474,2.05195670417031,10,1,10,2025,9,TRUE
