"hotel_id","platform","transformed_score","observed_relative_frequency","fitted_poisson_probability","fitted_probability_above_10"
"HWYNN001","agoda",0,0.625,0.44374731008108,1.21426301506288e-09
"HWYNN001","agoda",1,0.197916666666667,0.360544689440877,1.21426301506288e-09
"HWYNN001","agoda",2,0.09375,0.146471280085356,1.21426301506288e-09
"HWYNN001","agoda",3,0.0208333333333333,0.0396693050231174,1.21426301506288e-09
"HWYNN001","agoda",4,0.0208333333333333,0.00805782758282072,1.21426301506288e-09
"HWYNN001","agoda",5,0,0.00130939698220837,1.21426301506288e-09
"HWYNN001","agoda",6,0.0208333333333333,0.00017731417467405,1.21426301506288e-09
"HWYNN001","agoda",7,0.0104166666666667,2.05811095603808e-05,1.21426301506288e-09
"HWYNN001","agoda",8,0.0104166666666667,2.09026893972617e-06,1.21426301506288e-09
"HWYNN001","agoda",9,0,1.8870483483639e-07,1.21426301506288e-09
"HWYNN001","agoda",10,0,1.53322678304567e-08,1.21426301506288e-09
"HWYNN001","booking_via_agoda",0,0.527450980392157,0.239919703494866,3.41585854357507e-07
"HWYNN001","booking_via_agoda",1,0.201960784313725,0.342473615969142,3.41585854357507e-07
"HWYNN001","booking_via_agoda",2,0.0862745098039216,0.244432149436799,3.41585854357507e-07
"HWYNN001","booking_via_agoda",3,0.0450980392156863,0.116304970450974,3.41585854357507e-07
"HWYNN001","booking_via_agoda",4,0.0274509803921569,0.0415049110236808,3.41585854357507e-07
"HWYNN001","booking_via_agoda",5,0.0274509803921569,0.0118492451863685,3.41585854357507e-07
"HWYNN001","booking_via_agoda",6,0.0137254901960784,0.00281903610969812,3.41585854357507e-07
"HWYNN001","booking_via_agoda",7,0.0196078431372549,0.000574862265507068,3.41585854357507e-07
"HWYNN001","booking_via_agoda",8,0.00784313725490196,0.000102573463061065,3.41585854357507e-07
"HWYNN001","booking_via_agoda",9,0.0431372549019608,1.62687322676373e-05,3.41585854357507e-07
"HWYNN001","booking_via_agoda",10,0,2.32228178251765e-06,3.41585854357507e-07
"HWYNN001","priceline",0,0.458333333333333,0.311403223914598,4.70571757309066e-08
"HWYNN001","priceline",1,0.25,0.363303761233697,4.70571757309066e-08
"HWYNN001","priceline",2,0.208333333333333,0.21192719405299,4.70571757309066e-08
"HWYNN001","priceline",3,0.0416666666666667,0.0824161310206073,4.70571757309066e-08
"HWYNN001","priceline",4,0,0.0240380382143438,4.70571757309066e-08
"HWYNN001","priceline",5,0,0.00560887558334689,4.70571757309066e-08
"HWYNN001","priceline",6,0,0.00109061469676189,4.70571757309066e-08
"HWYNN001","priceline",7,0,0.000181769116126982,4.70571757309066e-08
"HWYNN001","priceline",8,0,2.65079961018516e-05,4.70571757309066e-08
"HWYNN001","priceline",9,0.0416666666666667,3.43622171690669e-06,4.70571757309066e-08
"HWYNN001","priceline",10,0,4.00892533639114e-07,4.70571757309066e-08
"HWYNN001","tripcom",0,0.682847896440129,0.467424332320346,6.15238892223798e-10
"HWYNN001","tripcom",1,0.129449838187702,0.355484524580199,6.15238892223798e-10
"HWYNN001","tripcom",2,0.0841423948220065,0.135176154168846,6.15238892223798e-10
"HWYNN001","tripcom",3,0.0323624595469256,0.0342679570978196,6.15238892223798e-10
"HWYNN001","tripcom",4,0.029126213592233,0.00651534783008705,6.15238892223798e-10
"HWYNN001","tripcom",5,0.0161812297734628,0.000991007598751105,6.15238892223798e-10
"HWYNN001","tripcom",6,0.0161812297734628,0.000125613153024007,6.15238892223798e-10
"HWYNN001","tripcom",7,0.00647249190938511,1.36472912439398e-05,6.15238892223798e-10
"HWYNN001","tripcom",8,0.00323624595469256,1.29737598799589e-06,6.15238892223798e-10
"HWYNN001","tripcom",9,0,1.09630836813749e-07,6.15238892223798e-10
"HWYNN001","tripcom",10,0,8.33762027547925e-09,6.15238892223798e-10
